feature,baseline_rse,permuted_rse,delta_rse
length of patch,0.03130977973341942,14.077588081359863,14.046278301626444
height of substrate,0.03130977973341942,8.490567207336426,8.459257427603006
dielectric constant of substrate,0.03130977973341942,5.662084579467773,5.630774799734354
width of patch,0.03130977973341942,4.307291507720947,4.275981727987528
c_probe,0.03130977973341942,1.6983213424682617,1.6670115627348423
dielectric constant of solder resist layer,0.03130977973341942,0.06001400947570801,0.02870422974228859
radius of the probe,0.03130977973341942,0.051075421273708344,0.019765641540288925
height of solder resist layer,0.03130977973341942,0.04402870684862137,0.01271892711520195
height of patch,0.03130977973341942,0.03541658818721771,0.004106808453798294
c_antipad,0.03130977973341942,0.03243319317698479,0.0011234134435653687
c_pad,0.03130977973341942,0.031665485352277756,0.0003557056188583374
