freq_index,mse_db,rse_db
0,0.8751671,0.029008755
1,0.8611845,0.02542303
2,0.8118088,0.02735314
3,0.7761043,0.024066878
4,0.8131893,0.022908574
5,0.7619157,0.021522382
6,0.64884245,0.019776283
7,0.61789083,0.018755378
8,0.68663836,0.018558152
9,0.91444886,0.018023174
10,0.7706824,0.018280584
11,0.7192576,0.018042507
12,0.78360444,0.018004954
13,0.70846343,0.018268725
14,0.6213512,0.019134376
15,0.5983826,0.018199025
16,0.61998975,0.017948665
17,0.6169563,0.019051915
18,0.66771626,0.020270262
19,0.74883026,0.021470774
20,0.8315763,0.022157408
21,0.92114246,0.029744782
22,1.0720471,0.03773002
23,1.278547,0.028138358
24,1.4935813,0.03440831
25,1.6937422,0.029819278
26,1.7888554,0.036256652
27,1.9206852,0.031269576
28,1.9537411,0.044749126
29,1.7658181,0.030511096
30,1.5498387,0.028090961
31,1.4644995,0.025274104
32,1.383649,0.02407831
33,1.1527952,0.023570444
34,1.013569,0.022242377
35,0.9245393,0.020991415
36,0.9258663,0.018259276
37,0.8804728,0.017599126
38,0.84740597,0.016400974
39,0.8836376,0.016497144
40,0.8262898,0.016260922
41,0.80616504,0.016880142
42,0.8232173,0.016836239
43,0.8518538,0.017298661
44,0.8467376,0.017171476
45,0.88273066,0.017829547
46,0.8871359,0.017713403
47,0.8151993,0.017879874
48,0.79764026,0.017590174
49,0.85177493,0.018024663
50,0.835102,0.017929917
51,0.8690709,0.018562328
52,0.80281633,0.018524673
53,0.80942005,0.019202929
54,0.8750783,0.019054241
55,1.0504656,0.019893274
56,1.1413981,0.020967662
57,1.0689852,0.021494262
58,1.1087389,0.02158969
59,1.1867851,0.021824807
60,1.26122,0.02261129
61,1.3918898,0.02489045
62,1.5338067,0.037509568
63,1.7490258,0.02873584
64,1.8049784,0.033455174
65,2.0185385,0.03310916
66,2.0996344,0.032325372
67,2.3312726,0.035316154
68,2.4432855,0.038611192
69,2.5748937,0.042093586
70,2.8053806,0.0455679
71,3.2098103,0.048732545
72,3.3490503,0.053255443
73,3.547907,0.059348725
74,3.6864243,0.063134745
75,3.8506427,0.064202055
76,3.9480562,0.063391194
77,3.8999085,0.07067493
78,3.7785032,0.07105532
79,3.7685535,0.060473565
80,3.239348,0.05351728
81,2.9263432,0.050505742
82,2.8161545,0.04632958
83,2.8073523,0.044839833
84,2.8194635,0.042140033
85,2.918758,0.040469013
86,2.7121491,0.039085872
87,2.3366208,0.03775704
88,2.1273158,0.03615897
89,1.9269072,0.034259427
90,1.794169,0.03209868
91,1.780461,0.030767927
92,1.7798457,0.02904138
93,1.8442205,0.027967105
94,1.7949092,0.027044766
95,1.7651969,0.02586731
96,1.6620961,0.024469418
97,1.4742569,0.023612829
98,1.3574669,0.023000749
99,1.2590456,0.022685595
100,1.1704082,0.022358648
101,1.1641413,0.022521392
102,1.2583654,0.022893937
103,1.4736878,0.023275169
104,1.5871731,0.023035487
105,1.4565775,0.022773877
106,1.5201463,0.022690764
107,1.4731508,0.022581501
108,1.5768008,0.022329073
109,1.5469989,0.022306379
110,1.3797204,0.022400599
111,1.4600173,0.022385381
112,1.2870548,0.022398286
113,1.2243494,0.022484561
114,1.2387915,0.0228859
115,1.2637103,0.023324572
116,1.2394581,0.023325505
117,1.3784264,0.023907928
118,1.480651,0.024027018
119,1.5006112,0.024640188
120,1.7607257,0.024812821
121,1.7197263,0.025367446
122,1.6394545,0.02534327
123,1.5699222,0.02537677
124,1.8474351,0.024990791
125,1.5007942,0.025895773
126,1.49138,0.026918048
127,1.371031,0.026608981
128,1.3800403,0.026910333
129,1.5062915,0.027928064
130,1.6200482,0.02859346
131,1.6372463,0.028691338
132,1.6547573,0.028702963
133,1.7432313,0.029182248
134,1.922303,0.029686673
135,2.0855768,0.031204093
136,2.145299,0.030828433
137,2.147819,0.03147246
138,2.2314553,0.033113893
139,2.1361141,0.033086114
140,2.1592803,0.033253033
141,2.1520743,0.033825114
142,2.1210032,0.033488974
143,2.1896799,0.033839006
144,2.3543327,0.03445434
145,2.4749372,0.033205867
146,2.2985072,0.032579448
147,2.1826262,0.03194248
148,2.230389,0.032340616
149,2.32966,0.03161758
150,2.41513,0.031499404
151,2.338925,0.031599957
152,2.2647073,0.031462435
153,2.236485,0.031093989
154,2.2130995,0.031267144
155,2.3854172,0.031368766
156,2.1321495,0.031678233
157,2.083427,0.030982962
158,2.0352,0.03146649
159,1.9269572,0.031460818
160,1.949007,0.03172624
161,1.9670401,0.032755475
162,2.0542116,0.032971434
163,2.1045277,0.033938948
164,2.142106,0.034361318
165,2.3358245,0.036341976
166,2.5108268,0.035731427
167,2.736982,0.03740957
168,2.5681555,0.03859208
169,2.6998265,0.039356247
170,2.8138463,0.04014825
171,3.0595477,0.041620936
172,2.9511049,0.042063452
173,3.0422072,0.04521607
174,2.8417618,0.04377375
175,2.906451,0.044689506
176,3.026362,0.04318288
177,2.8692112,0.044314876
178,2.7302155,0.045312062
179,2.82767,0.044734884
180,2.8143542,0.044114485
181,2.5386238,0.043378636
182,2.5497172,0.042000063
183,2.715631,0.0422953
184,2.7864954,0.040379994
185,2.4785607,0.04016319
186,2.3609428,0.04046424
187,2.3512454,0.038988374
188,2.4930556,0.039178696
189,2.5272312,0.039778292
190,2.6692846,0.03905164
191,2.7908106,0.038242273
192,2.6411016,0.0392851
193,2.768548,0.03978863
194,2.8383281,0.04119024
195,2.9009607,0.04215596
196,2.9212751,0.043330885
197,3.069788,0.046267398
198,2.9637234,0.04873221
199,2.866443,0.051106256
200,2.8290732,0.05294669
